username,total_score
ME-ON1,0
Sayantan-Bhowmick,0
PRITIISHAW,0
NivedithaBBhat,0
sayannath,0
yashmnc,0
abhishekjain35,0
avgupt,0
major2001,0
taran9873,0
CHETHANBRAAJ,0
juveria-manzar,0
SaumyaSingh1,0
aryavinodan,0
yash-7827,0
parthsharma07,0
Jaypg02,0
sonu6084,0
ISHaNT-CHaHaR,0
deepakacharya1908,0
krishnakeerthanas2000,0
KeerthanaTE,0
github-login,0
Valdermaut,6
raksh543,0
radhikasethi2011,0
anutanveer,0
Shivanidubey23,0
explore,0
sangeetamishra,0
AakritiGupta298,0
AnkitaBIT,0
amanmalakar007,0
rakshitha-g,0
animeshsrivastava24,0
Schitiz,4
jyotirawat224,0
harshlohia11,0
kushverma86,0
nilavya2000,0
abhishekgupta368,0
neil-dev,0
Richaagrawal314,0
RevathiKannanGithub,0
ayushi-universe,0
SwarazK,0
naman360,0
ankurdubey521,0
parjanyaacoder,0
himanshu-roy,0
humancalico,0
ayushchou8876,0
ritbikbharti,0
MemE-G-0-D,0
Anushka-shukla,0
mahakbansal2019,0
princekumarcyber,0
Ruchika30,0
mahi397,0
AnjaliSharma1234,0
abh33,0
anascann,0
Tawishi,0
samarpita-bhaumik,0
saloniankita23,0
akhilomar,0
mayukh-B,0
afroz23,0
Anushka-Rajvanshi,8
ron-matt163,0
mahakmandlecha,0
CSElonewolf,6
simran2104,0
Ani1000,0
Advitya-sharma,2
rajatmw1999,4
rushu570,0
2580ayush2580,0
prarthnapahuja,0
safurazaheer,0
anubhav11march,0
joardar-aditya,0
Xtremilicious,68
gutsytechster,0
rashrey2308,90
aman-atg,21
gayathri-venu,4
dakshkhetan,0
pooja-git11,4
ayushmankumar7,2
arvindkr7,0
prince-09,15
SDakshit,0
SubhradeepSS,40
harshcasper,27
avinash2201,0
SohelRaja,0
Rasazna,0
anmolkaur18,0
isumit19,0
tanvikapoor29,0
richabh456,0
diksha1720,0
Dhar15,0
accakks,0
deepakkapse,0
brahanyaa,0
PurvaChiniya,0
pratik20002,0
yuthika123,0
sanya2508,0
DeathNaughT-GitHub,0
RAMIDI-SRAVYA,0
disha2sinha,0
ritika-0111,0
mewcifur28,0
bharath-acchu,0
sakigo9,0
divyake,0
rahulgambhir,0
infiniteoverflow,0
simrankoul,0
medhak16,0
samcooldev99,0
simscool1,0
mridubhatnagar,0
ayush1507,0
Priya-Raut,0
Vidwita,0
debdutgoswami,0
ashiishkarhade,0
iamrajiv,0
anushiya-thevapalan,0
ShubhzR,0
PratilipiAich,0
JainStuti25,0
Parmod611,0
iamabhishek0,0
Ninjavin,0
kaushalsahu,0
deepak2233,0
Chanchal1603,0
debajit13,0
DEBANJANAB,0
anshul1098,0
KanakalathaVemuru,0
soumyaa1804,0
surajyadav9,0
iamkunalpitale,0
internetlake98,0
divymakkar,0
PrachieNaik,0
mehakg867,0
himanshusharma89,385
sagijagadish,0
iamsomraj,0
Angshuman032001,0
saintpopo,0
srishtiBajpai,0
samruti,0
ashutoshdwivedi2001,0
Avish-Tripathi,0
kaushambi22,0
ShashwatVC,0
dhogaivannan,0
muskanc6769,0
gpsuhas20,0
mightomi,0
manishkaa,0
mehul0007,0
numaan-esc,0
goelabhishek694,0
Tanya102,0
Quartz14,0
shivendrarox,0
Simran-bhardwaj,0
Rock-M00,0
github-harshit,0
lezendarynoob,0
JRathour12,0
Shr03mink,0
Himan1999,0
shubhrasachdev,0
DevNM21,0
harshitaricha,0
04MohammedSahil,0
Ragul310,0
krit2gupt,0
rudri182Gyanwee28,0
Vickymeera09,0
kumarujk,0
Sayanbrata,0
eshadas,0
shruthi019,0
https:,0
FaisalAhmad786,0
infiniteaditya,0
MsShandilya,0
ashanandi24,0
prateekguptaiiitk,0
THEBEAST310hmangal2304,0
rajat1478,0
preethi-sc,0
Souptik2001,0
Sohini18,0
Dhanshreeb05,0
sandy9999,0
utkarshkumar05,0
ka1shi,0
adhyanagpal,0
sourabhagrawal23,0
Srashtimittal,0
aksharadyuti,0
pavankpdev,0
pr3s4r10,0
ym2108,0
GeniusLearner,0
21170293,0
DhrupalGP,0
Ayumilan,0
pearlgupta2000,0
navyajyoti,0
deepdhar,0
thevip,0
TanviKumar,0
nikita1211,0
Keerthihegde,0
pragati-04,0
huonggiangbui,0
prshnt19,0
deepjoy9,0
shreoshi-roy,0
991rajat,0
Amitsharma45,0
akri16,0
joyetabarman2000,0
abhishek-0811,0
firthowsa,0
samarpanghosh,0
Soumya0803,0
poorvapk,0
gouri-panda,0
kaushik-art,0
sreejith97,0
AbhipsaGuru1012,0
nayonnapurnell,0
Sruti2001,0
aarikasrivastava,0
JasbirCodeSpace,0
puja-ui,0
imbhavesh28,0
Jayati-Narang,0
Alekhyaaaa,0
muskankhanum,0
taran1515,0
amrtachaurasia,0
ayushbathrey,0
elenuco,0
Aakansha99,0
divya-prakash-1,0
AdityaSingh17,0
rithwikreddy40,0
Pravartya,0
Avinash9k5r,0
shujaa25,0
stutipandey,0
sunidhitandel,0
JoshuaPoddoku,0
shumbul,0
debd08,0
arcticfloyd1984,0
abhichou4,0
arnab15,0
prachi-aggarwal,0
Sudipa-Sarkar,0
gauravchandra7,0
cheshtan,0
InfamousBolt,0
krishnam1998gkp,0
Ashish0926,0
Kashish-max,0
ritika-rm,0
svensevenslow,0
TheTrailblazer09,0
pratyushraj7,0
asura-ninja,0
MittalAayushi,0
Nashua354,0
mahimaverma10,0
asaw4,0
Odinga96,0
LuGO0,0
Tanmayvv,0
tonalmathew,0
taaniyaghosh,0
Lalita-Gupta,0
saritacutinha,0
RA-Snow,0
bansalsurya,0
bosecodes,0
manasi1109,0
HarshilP03,0
Ramesh-geek,0
thesaltree,0
ishukhanchi,0
Akansha2202,0
Bhairavi-avt,0
Shanu4499,0
saks1209am,0
SaranshDawra,0
abhish3k-11,0
smruthimohan,0
shreyasrivastava936,0
BhardwajShweta25,0
18chanchal20,0
MananKaur,0
afsamelmuri,0
Biswarupc10,0
satyamroy001,0
HSweta,0
avni1111,0
devanshim2207,0
